TRAIN_TT,TRAIN_CO,SM_TT,SM_CO,CAR_TT,CAR_CO,CHOICE
112,48,63,52,117,65,2
103,48,60,49,117,84,2
130,48,67,58,117,52,2
103,40,63,52,72,52,2
130,36,63,42,90,84,2
112,36,60,49,90,52,2
103,48,67,58,72,65,2
103,36,67,43,90,65,1
130,40,60,46,72,65,2
184,62,76,70,0,0,2
170,62,70,66,0,0,2
213,62,84,82,0,0,2
170,52,76,72,0,0,2
213,47,76,53,0,0,2
184,47,70,66,0,0,2
170,62,84,82,0,0,2
170,47,84,57,0,0,2
213,52,70,62,0,0,2
58,32,29,35,105,40,2
58,29,25,38,136,50,2
58,32,27,40,136,65,2
47,29,25,38,84,65,2
51,32,25,36,136,40,2
51,38,25,42,84,40,2
51,29,27,32,84,50,2
51,32,27,40,105,50,2
58,38,27,42,84,65,2
138,40,65,45,135,80,2
138,40,61,52,175,130,2
138,36,58,49,175,100,2
105,36,58,49,108,130,2
116,40,58,46,175,80,2
116,36,61,42,108,100,2
116,48,58,50,108,80,2
138,48,61,52,108,130,2
116,40,61,52,135,100,2
269,70,216,72,0,0,2
243,70,213,70,0,0,2
320,70,220,74,0,0,2
243,58,216,66,0,0,2
320,52,216,57,0,0,2
269,52,213,62,0,0,2
243,70,220,74,0,0,2
243,52,220,57,0,0,2
320,58,213,64,0,0,2
116,35,46,38,70,35,2
95,26,49,29,91,28,2
116,26,53,32,56,28,2
102,26,53,32,91,45,2
102,29,53,32,56,45,2
95,29,53,32,91,35,2
95,35,49,40,70,28,2
95,29,46,35,70,45,2
102,35,53,46,70,45,2
87,42,32,49,117,140,2
80,42,29,46,117,182,2
101,42,36,56,117,112,2
80,35,32,49,72,112,2
101,31,32,38,90,182,2
87,31,29,46,90,112,2
80,42,36,56,72,140,1
80,31,36,40,90,140,2
101,35,29,43,72,140,2
109,26,56,34,130,30,2
100,26,53,32,130,39,2
126,26,60,40,130,24,2
100,22,56,35,80,24,3
126,20,56,24,100,39,2
109,20,53,32,100,24,3
100,26,60,40,80,30,3
100,20,60,26,100,30,2
126,22,53,28,80,30,2
116,24,53,28,60,32,2
116,22,46,32,78,40,2
116,24,49,36,78,52,2
95,22,46,32,48,52,2
102,24,46,29,78,32,2
102,29,46,32,48,32,2
102,22,49,25,48,40,2
102,24,49,36,60,40,2
116,29,49,35,48,52,2
131,42,59,46,0,0,2
110,31,62,38,0,0,1
131,31,66,40,0,0,2
117,31,66,40,0,0,2
117,35,66,42,0,0,2
110,35,66,42,0,0,2
110,42,62,49,0,0,2
110,35,59,43,0,0,2
117,42,66,56,0,0,1
116,32,52,38,0,0,2
116,32,48,43,0,0,2
116,29,45,40,0,0,2
93,29,45,40,0,0,2
101,32,45,40,0,0,2
101,29,48,34,0,0,2
101,38,45,43,0,0,2
116,38,48,45,0,0,2
101,32,48,43,0,0,2
131,36,66,42,0,0,2
131,36,62,50,0,0,2
131,32,59,48,0,0,2
110,32,59,48,0,0,2
117,36,59,45,0,0,2
117,32,62,38,0,0,2
117,43,59,48,0,0,2
131,43,62,49,0,0,2
117,36,62,50,0,0,2
168,37,86,40,0,0,2
129,28,89,32,0,0,2
168,28,93,32,0,0,2
142,28,93,32,0,0,2
142,31,93,34,0,0,2
129,31,93,34,0,0,1
129,37,89,42,0,0,1
129,31,86,36,0,0,2
142,37,93,46,0,0,2
130,31,77,38,91,100,2
118,31,74,36,91,130,2
153,31,81,43,91,80,2
118,26,77,38,56,80,1
153,23,77,28,70,130,2
130,23,74,35,70,80,2
118,31,81,43,56,100,2
118,23,81,29,70,100,1
153,26,74,32,56,100,2
111,26,41,31,0,0,2
111,20,48,26,0,0,2
90,20,44,24,0,0,2
97,20,48,26,0,0,2
97,22,48,26,0,0,2
90,22,48,26,0,0,2
90,26,44,32,0,0,2
90,22,41,28,0,0,2
97,26,48,40,0,0,1
208,62,79,66,190,80,2
208,62,71,80,247,130,2
208,56,65,74,247,100,2
165,56,65,74,152,130,2
179,62,65,70,247,80,2
179,56,71,62,152,100,2
179,74,65,78,152,80,2
208,74,71,80,152,130,2
179,62,71,80,190,100,2
132,23,61,26,90,20,2
132,23,57,31,117,32,2
132,21,54,28,117,25,2
102,21,54,28,72,32,2
112,23,54,28,117,20,2
112,21,57,24,72,25,2
112,28,54,30,72,20,2
132,28,57,31,72,32,2
112,23,57,31,90,25,2
186,24,95,27,110,32,2
186,24,89,32,143,52,2
186,22,84,30,143,40,2
154,22,84,30,88,52,2
165,24,84,28,143,32,2
165,22,89,25,88,40,2
165,29,84,30,88,32,2
186,29,89,32,88,52,2
165,24,89,32,110,40,2
212,26,121,27,1200,10,3
177,20,128,23,1560,13,1
159,20,124,22,1560,8,3
212,20,128,23,960,8,3
177,22,128,24,960,13,1
159,22,128,24,1560,10,1
159,26,124,28,1200,8,2
159,22,121,25,1200,13,2
177,26,128,31,1200,13,1
179,31,96,32,110,30,2
137,23,99,27,143,24,2
179,23,103,28,88,24,3
151,23,103,28,143,39,2
151,26,103,28,88,39,2
137,26,103,28,143,30,2
137,31,99,34,110,24,2
137,26,96,30,110,39,2
151,31,103,38,110,39,2
133,96,57,106,0,0,2
122,96,52,99,0,0,2
154,96,63,123,0,0,1
122,80,57,106,0,0,2
154,72,57,83,0,0,2
133,72,52,99,0,0,2
122,96,63,123,0,0,2
122,72,63,86,0,0,2
154,80,52,91,0,0,2
108,52,43,62,70,36,3
108,52,39,80,91,58,1
108,47,36,71,91,45,1
87,47,36,71,56,58,1
94,52,36,65,91,36,3
94,47,39,57,56,45,1
94,62,36,71,56,36,3
108,62,39,76,56,58,3
94,52,39,80,70,45,3
102,54,49,68,78,50,2
95,54,46,63,78,65,2
116,54,53,83,78,40,1
95,45,49,70,48,40,1
116,40,49,50,60,65,2
102,40,46,63,60,40,2
